model,base_group,total_rows,coding_rows,latest_utc
hunyuan-turbos-20250313,,418,128,2025-04-03
lcb-math-qwen2-72b-instructv3-merged-50,,293,128,2024-12-10
learnlm-1.5-pro-experimental,,418,128,2025-02-06
llama-2-7b-chat-hf,,15,15,2025-02-06
llama-3.1-nemotron-70b-instruct,,293,128,2025-02-06
llama-3.3-70b-instruct-turbo,meta/llama-3.3-70b-instruct,418,128,2025-02-06
llama-4-maverick-17b-128e-instruct,,380,90,2025-04-07
mathstral-7B-v0.1,,293,128,2024-12-10
meta-llama-3-70b-instruct,,15,15,2025-02-06
meta-llama-3-8b-instruct,,15,15,2025-02-06
meta-llama-3.1-405b-instruct-turbo,,418,128,2025-02-06
meta-llama-3.1-70b-instruct-turbo,,418,128,2025-02-06
meta-llama-3.1-8b-instruct-turbo,,418,128,2025-04-02
mistral-7b-instruct-v0.2,,15,15,2025-02-06
mistral-large,,100,0,2025-02-06
mistral-large-2402,,293,128,2025-02-06
mistral-large-2407,,393,128,2024-12-10
mistral-large-2411,,418,128,2025-02-06
mistral-small-2402,,393,128,2025-02-06
mistral-small-2409,,418,128,2025-02-06
mistral-small-2501,,418,128,2025-02-06
mistral-small-2503,,418,128,2025-04-02
mixtral-8x22b-instruct-v0.1,,15,15,2025-02-06
mixtral-8x7b-instruct-v0.1,,15,15,2025-02-06
o1,,128,128,2024-12-10
o1-2024-12-17-high,,418,128,2025-02-06
o1-2024-12-17-low,,318,128,2025-02-06
o1-2024-12-17-medium,,318,128,2025-03-04
o1-mini-2024-09-12,,493,128,2025-02-06
o1-preview-2024-09-12,,393,128,2025-02-06
o3-mini-2025-01-31-high,,418,128,2025-02-06
o3-mini-2025-01-31-low,,418,128,2025-02-06
o3-mini-2025-01-31-medium,,418,128,2025-02-06
olmo-2-1124-13b-instruct,,318,128,2025-02-06
open-mistral-nemo,,293,128,2024-12-10
open-mixtral-8x22b,,240,40,2025-04-03
open-mixtral-8x7b,,40,40,2024-12-10
perplexity-sonar-reasoning,,38,38,2025-03-24
phi-3-medium-4k-instruct,,50,0,2024-12-10
phi-3-mini-128k-instruct,,115,15,2025-02-06
phi-3-mini-4k-instruct,,115,15,2025-02-06
phi-3-small-8k-instruct,,50,0,2024-12-10
phi-4,,328,128,2025-02-06
qwen1.5-0.5b-chat,,15,15,2025-02-06
qwen1.5-1.8b-chat,,15,15,2025-02-06
qwen1.5-110b-chat,,15,15,2025-02-06
qwen1.5-4b-chat,,15,15,2025-02-06
qwen1.5-72b-chat,,15,15,2025-02-06
qwen1.5-7b-chat,,15,15,2025-02-06
qwen2-72b-instruct,,15,15,2025-02-06
qwen2-math-72b-instruct,,293,128,2024-12-10
qwen2.5-72b-instruct-turbo,,115,15,2025-02-06
qwen2.5-7b-instruct-turbo,,115,15,2025-02-06
qwen2.5-coder-32b-instruct,,98,0,2025-04-02
qwen2.5-max,,418,128,2025-04-02
qwq-32b,,418,128,2025-04-01
qwq-32b-preview,,418,128,2025-02-06
reflection-llama-3.1-70b,,15,15,2025-02-06
sky-t1-32b-preview,,318,128,2025-02-06
sonar,,521,256,2025-03-22
sonar-pro,,318,128,2025-03-21
starling-lm-7b-beta,,15,15,2025-02-06
step-2-16k-202411,,621,256,2025-02-06
vicuna-7b-v1.5,,293,128,2025-02-06
vicuna-7b-v1.5-16k,,293,128,2025-02-06
wbot-4:347b_no_s,,318,128,2025-03-05
yi-6b-chat,,15,15,2025-02-06
zephyr-7b-alpha,,293,128,2025-02-06
zephyr-7b-beta,,293,128,2025-02-06
