model,suite,base_group,rows,freshness
Qwen--Qwen2.5-32B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-32B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-72B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-72B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-7B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-7B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-1.5B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-1.5B-Instruct,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-1.5B-Instruct,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-1.5B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-14B-Instruct,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-14B-Instruct,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-32B-Instruct,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-32B-Instruct,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-7B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-7B-Instruct,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-7B-Instruct,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
Qwen--Qwen2.5-Coder-7B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
SenseLLM--ReflectionCoder-CL-34B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
SenseLLM--ReflectionCoder-CL-34B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
SenseLLM--ReflectionCoder-CL-7B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
SenseLLM--ReflectionCoder-CL-7B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
SenseLLM--ReflectionCoder-DS-33B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
SenseLLM--ReflectionCoder-DS-33B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
SenseLLM--ReflectionCoder-DS-6.7B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
SenseLLM--ReflectionCoder-DS-6.7B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
THUDM--codegeex4-all-9b,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
THUDM--codegeex4-all-9b,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
WarriorCoder-6.7B--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
WarriorCoder-6.7B--main,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
WhiteRabbitNeo--WhiteRabbitNeo-33B-v1.5,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
WhiteRabbitNeo--WhiteRabbitNeo-33B-v1.5,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
abacusai--Dracarys-72B-Instruct,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
abacusai--Dracarys-72B-Instruct,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
abacusai--Dracarys-Llama-3.1-70B-Instruct,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
abacusai--Dracarys-Llama-3.1-70B-Instruct,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
agentica-org--DeepCoder-14B-Preview,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
agentica-org--DeepCoder-14B-Preview,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
agentica-org--DeepCoder-14B-Preview,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
agentica-org--DeepCoder-14B-Preview,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
agentica-org--DeepCoder-14B-Preview--skip_prefill--main,bigcodebench-hard-complete,,150,v0.2.5 published 2025-04-11
agentica-org--DeepCoder-14B-Preview--skip_prefill--main,bigcodebench-hard-instruct,,150,v0.2.5 published 2025-04-11
bigcode--starcoder2-15b-instruct-v0.1,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
bigcode--starcoder2-15b-instruct-v0.1,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
chatgpt-4o-latest--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
chatgpt-4o-latest--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
claude-3-5-haiku-20241022--main,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
claude-3-5-haiku-20241022--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
claude-3-5-haiku-20241022--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
claude-3-5-haiku-20241022--main,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
claude-3-5-sonnet-20240620,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
claude-3-5-sonnet-20241022,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
claude-3-5-sonnet-20241022,bigcodebench-instruct,,1148,v0.2.5 published 2025-04-11
claude-3-7-sonnet-20250219--3200-output-128k-2025-02-19--main,bigcodebench-hard-complete,anthropic/claude-3.7-sonnet,148,v0.2.5 published 2025-04-11
claude-3-7-sonnet-20250219--3200-output-128k-2025-02-19--main,bigcodebench-hard-instruct,anthropic/claude-3.7-sonnet,148,v0.2.5 published 2025-04-11
claude-3-7-sonnet-20250219--main,bigcodebench-hard-complete,anthropic/claude-3.7-sonnet,148,v0.2.5 published 2025-04-11
claude-3-7-sonnet-20250219--main,bigcodebench-hard-instruct,anthropic/claude-3.7-sonnet,148,v0.2.5 published 2025-04-11
claude-3-haiku-20240307,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
claude-3-haiku-20240307,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
claude-3-opus-20240229,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
claude-3-opus-20240229,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
claude-3-sonnet-20240229,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
claude-3-sonnet-20240229,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
codellama--CodeLlama-13b-Instruct-hf,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
codellama--CodeLlama-13b-Instruct-hf,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
codellama--CodeLlama-34b-Instruct-hf,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
codellama--CodeLlama-34b-Instruct-hf,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
codellama--CodeLlama-70b-Instruct-hf,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
codellama--CodeLlama-70b-Instruct-hf,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
codellama--CodeLlama-7b-Instruct-hf,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
codellama--CodeLlama-7b-Instruct-hf,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-Coder-V2-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-Coder-V2-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-Coder-V2-Lite-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-Coder-V2-Lite-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Llama-70B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Llama-70B,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Llama-8B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Llama-8B,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Qwen-1.5B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Qwen-1.5B,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Qwen-14B,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Qwen-32B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Qwen-32B,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Qwen-7B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-R1-Distill-Qwen-7B,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V2-Chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V2-Chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V2.5-1210--main,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V2.5-1210--main,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V3,bigcodebench-complete,deepseek/deepseek-v3-chat,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V3,bigcodebench-hard-complete,deepseek/deepseek-v3-chat,148,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V3,bigcodebench-hard-instruct,deepseek/deepseek-v3-chat,148,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V3,bigcodebench-instruct,deepseek/deepseek-v3-chat,1140,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V3-0324,bigcodebench-hard-complete,deepseek/deepseek-v3-chat,148,v0.2.5 published 2025-04-11
deepseek-ai--DeepSeek-V3-0324,bigcodebench-hard-instruct,deepseek/deepseek-v3-chat,148,v0.2.5 published 2025-04-11
deepseek-ai--deepseek-coder-1.3b-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--deepseek-coder-1.3b-instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
deepseek-ai--deepseek-coder-33b-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--deepseek-coder-33b-instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
deepseek-ai--deepseek-coder-6.7b-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
deepseek-ai--deepseek-coder-6.7b-instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
deepseek-coder,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
deepseek-coder,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
deepseek-coder-20240724,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
deepseek-coder-20240724,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
deepseek-coder-v2.5,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
deepseek-coder-v2.5,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
gemini-1.5-flash,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
gemini-1.5-flash,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
gemini-1.5-flash-exp-0827,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
gemini-1.5-flash-exp-0827,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
gemini-1.5-pro,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
gemini-1.5-pro,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
gemini-1.5-pro-002,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
gemini-1.5-pro-002,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
gemini-1.5-pro-exp-0801,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
gemini-1.5-pro-exp-0801,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
gemini-1.5-pro-exp-0827,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
gemini-1.5-pro-exp-0827,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
gemini-2.0-flash-001--main,bigcodebench-hard-complete,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-flash-001--main,bigcodebench-hard-instruct,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-flash-exp--main,bigcodebench-complete,google/gemini-2.0-flash,1140,v0.2.5 published 2025-04-11
gemini-2.0-flash-exp--main,bigcodebench-hard-complete,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-flash-exp--main,bigcodebench-hard-instruct,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-flash-exp--main,bigcodebench-instruct,google/gemini-2.0-flash,1140,v0.2.5 published 2025-04-11
gemini-2.0-flash-lite-preview-02-05--main,bigcodebench-hard-complete,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-flash-lite-preview-02-05--main,bigcodebench-hard-instruct,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-flash-thinking-exp-01-21--main,bigcodebench-hard-complete,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-flash-thinking-exp-01-21--main,bigcodebench-hard-instruct,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-flash-thinking-exp-1219--main,bigcodebench-hard-complete,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-flash-thinking-exp-1219--main,bigcodebench-hard-instruct,google/gemini-2.0-flash,148,v0.2.5 published 2025-04-11
gemini-2.0-pro-exp-02-05--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
gemini-2.0-pro-exp-02-05--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
gemini-2.5-pro-exp-03-25--main,bigcodebench-hard-complete,google/gemini-2.5-pro,148,v0.2.5 published 2025-04-11
gemini-2.5-pro-exp-03-25--main,bigcodebench-hard-instruct,google/gemini-2.5-pro,148,v0.2.5 published 2025-04-11
gemini-exp-1114--main,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
gemini-exp-1114--main,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
gemini-exp-1121--main,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
gemini-exp-1121--main,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
gemini-exp-1206--main,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
gemini-exp-1206--main,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
google--codegemma-7b-it,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
google--codegemma-7b-it,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
google--gemma-2-27b-it,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
google--gemma-2-27b-it,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
google--gemma-2-9b-it,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
google--gemma-2-9b-it,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
google--gemma-3-27b-it,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
google--gemma-3-27b-it,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
gpt-3.5-turbo-0125,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
gpt-3.5-turbo-0125,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
gpt-4-0613,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
gpt-4-0613,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
gpt-4-turbo-2024-04-09,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
gpt-4-turbo-2024-04-09,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
gpt-4o,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
gpt-4o,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
gpt-4o-2024-08-06,bigcodebench-hard-complete,,296,v0.2.5 published 2025-04-11
gpt-4o-2024-08-06,bigcodebench-hard-instruct,,296,v0.2.5 published 2025-04-11
gpt-4o-2024-11-20--main,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
gpt-4o-2024-11-20--main,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
gpt-4o-mini-2024-07-18,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
gpt-4o-mini-2024-07-18,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
grok-beta--main,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
grok-beta--main,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
ibm-granite--granite-20b-code-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
ibm-granite--granite-20b-code-instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
ibm-granite--granite-3.0-2b-instruct,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
ibm-granite--granite-3.0-2b-instruct,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
ibm-granite--granite-3.0-8b-instruct,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
ibm-granite--granite-3.0-8b-instruct,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
ibm-granite--granite-34b-code-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
ibm-granite--granite-34b-code-instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
ibm-granite--granite-3b-code-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
ibm-granite--granite-8b-code-instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
infly--OpenCoder-1.5B-Instruct,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
infly--OpenCoder-1.5B-Instruct,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
infly--OpenCoder-8B-Instruct,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
infly--OpenCoder-8B-Instruct,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
internlm--internlm2_5-7b-chat,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
internlm--internlm2_5-7b-chat,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
ise-uiuc--Magicoder-S-DS-6.7B,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
ise-uiuc--Magicoder-S-DS-6.7B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
m-a-p--OpenCodeInterpreter-DS-1.3B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
m-a-p--OpenCodeInterpreter-DS-6.7B,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
mattshumer--ref_70_e3,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
mattshumer--ref_70_e3,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
meta-llama--Llama-3.2-1B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
meta-llama--Llama-3.2-1B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
meta-llama--Llama-3.2-3B-Instruct,bigcodebench-complete,,2280,v0.2.5 published 2025-04-11
meta-llama--Llama-3.2-3B-Instruct,bigcodebench-instruct,,2280,v0.2.5 published 2025-04-11
meta-llama--Llama-3.3-70B-Instruct,bigcodebench-complete,meta/llama-3.3-70b-instruct,1140,v0.2.5 published 2025-04-11
meta-llama--Llama-3.3-70B-Instruct,bigcodebench-instruct,meta/llama-3.3-70b-instruct,1140,v0.2.5 published 2025-04-11
meta-llama--Llama-4-Maverick-17B-128E-Instruct,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
meta-llama--Llama-4-Maverick-17B-128E-Instruct,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
meta-llama--Llama-4-Maverick-17B-128E-Instruct,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
meta-llama--Llama-4-Maverick-17B-128E-Instruct,bigcodebench-instruct,,1140,v0.2.5 published 2025-04-11
meta-llama--Llama-4-Scout-17B-16E-Instruct,bigcodebench-complete,,1140,v0.2.5 published 2025-04-11
meta-llama--Llama-4-Scout-17B-16E-Instruct,bigcodebench-hard-complete,,148,v0.2.5 published 2025-04-11
meta-llama--Llama-4-Scout-17B-16E-Instruct,bigcodebench-hard-instruct,,148,v0.2.5 published 2025-04-11
