domain,k,panel_system_ids,panel,base_models,teachers,n_common,oracle,best_single_common,headroom,headroom_ci_low,headroom_ci_high,pairwise_phi,phi_floors,lineage_veto_pairs,tier
mbpp_humaneval,3,gemma-2-9b-it | Llama-3.1-Nemotron-Nano-8B-v1 | Llama-3.1-8B-Instruct,gemma-2-9b-it | Llama-3.1-Nemotron-Nano-8B-v1 | Llama-3.1-8B-Instruct,Gemma-2-9B | Llama-3.1 | Llama-3.1-8B,none | NVIDIA Nemotron alignment (uncertain) | none,1138,0.809315,0.627417,0.181898,0.159051,0.195101,gemma-2-9b-it / Llama-3.1-Nemotron-Nano-8B-v1: 0.398; gemma-2-9b-it / Llama-3.1-8B-Instruct: 0.528; Llama-3.1-Nemotron-Nano-8B-v1 / Llama-3.1-8B-Instruct: 0.386,yes; yes; yes,,A
mbpp_humaneval,3,glm-4-9b-chat | internlm3-8b-instruct | Llama-3.1-8B-Instruct,glm-4-9b-chat | internlm3-8b-instruct | Llama-3.1-8B-Instruct,GLM-4-9B | InternLM3-8B | Llama-3.1-8B,none | none | none,1137,0.824978,0.645558,0.17942,0.157432,0.200528,glm-4-9b-chat / internlm3-8b-instruct: 0.344; glm-4-9b-chat / Llama-3.1-8B-Instruct: 0.488; internlm3-8b-instruct / Llama-3.1-8B-Instruct: 0.303,yes; yes; yes,,A
mbpp_humaneval,2,Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,Llama-3.1 | InternLM3-8B,NVIDIA Nemotron alignment (uncertain) | none,1137,0.796834,0.617414,0.17942,0.156552,0.190853,Llama-3.1-Nemotron-Nano-8B-v1 / internlm3-8b-instruct: 0.233,yes,,A
mbpp_humaneval,3,GLM-Z1-9B-0414 | Llama-3.1-Nemotron-Nano-8B-v1 | Llama-3.1-8B-Instruct,GLM-Z1-9B-0414 | Llama-3.1-Nemotron-Nano-8B-v1 | Llama-3.1-8B-Instruct,GLM-4-9B | Llama-3.1 | Llama-3.1-8B,GLM-Z1/RL (uncertain) | NVIDIA Nemotron alignment (uncertain) | none,1138,0.804921,0.625659,0.179262,0.156415,0.1942,GLM-Z1-9B-0414 / Llama-3.1-Nemotron-Nano-8B-v1: 0.545; GLM-Z1-9B-0414 / Llama-3.1-8B-Instruct: 0.394; Llama-3.1-Nemotron-Nano-8B-v1 / Llama-3.1-8B-Instruct: 0.386,yes; yes; yes,,A
mbpp_humaneval,3,glm-4-9b-chat | gemma-2-9b-it | internlm3-8b-instruct,glm-4-9b-chat | gemma-2-9b-it | internlm3-8b-instruct,GLM-4-9B | Gemma-2-9B | InternLM3-8B,none | none | none,1137,0.822339,0.645558,0.176781,0.153914,0.197911,glm-4-9b-chat / gemma-2-9b-it: 0.530; glm-4-9b-chat / internlm3-8b-instruct: 0.344; gemma-2-9b-it / internlm3-8b-instruct: 0.330,yes; yes; yes,,A
mbpp_humaneval,3,glm-4-9b-chat | Llama-3.1-Nemotron-Nano-8B-v1 | Llama-3.1-8B-Instruct,glm-4-9b-chat | Llama-3.1-Nemotron-Nano-8B-v1 | Llama-3.1-8B-Instruct,GLM-4-9B | Llama-3.1 | Llama-3.1-8B,none | NVIDIA Nemotron alignment (uncertain) | none,1138,0.818102,0.644991,0.173111,0.151142,0.193322,glm-4-9b-chat / Llama-3.1-Nemotron-Nano-8B-v1: 0.397; glm-4-9b-chat / Llama-3.1-8B-Instruct: 0.488; Llama-3.1-Nemotron-Nano-8B-v1 / Llama-3.1-8B-Instruct: 0.386,yes; yes; yes,,A
mbpp_humaneval,3,glm-4-9b-chat | gemma-2-9b-it | Llama-3.1-Nemotron-Nano-8B-v1,glm-4-9b-chat | gemma-2-9b-it | Llama-3.1-Nemotron-Nano-8B-v1,GLM-4-9B | Gemma-2-9B | Llama-3.1,none | none | NVIDIA Nemotron alignment (uncertain),1138,0.818102,0.644991,0.173111,0.151142,0.191564,glm-4-9b-chat / gemma-2-9b-it: 0.530; glm-4-9b-chat / Llama-3.1-Nemotron-Nano-8B-v1: 0.397; gemma-2-9b-it / Llama-3.1-Nemotron-Nano-8B-v1: 0.398,yes; yes; yes,,A
mbpp_humaneval,2,internlm3-8b-instruct | Llama-3.1-8B-Instruct,internlm3-8b-instruct | Llama-3.1-8B-Instruct,InternLM3-8B | Llama-3.1-8B,none | none,1137,0.776605,0.613017,0.163588,0.14248,0.175022,internlm3-8b-instruct / Llama-3.1-8B-Instruct: 0.303,yes,,A
mbpp_humaneval,3,Fin-R1 | GLM-Z1-9B-0414 | internlm3-8b-instruct,Fin-R1 | GLM-Z1-9B-0414 | internlm3-8b-instruct,unknown | GLM-4-9B | InternLM3-8B,DeepSeek-R1 (uncertain) | GLM-Z1/RL (uncertain) | none,1137,0.864556,0.702726,0.161829,0.141601,0.182938,Fin-R1 / GLM-Z1-9B-0414: 0.421; Fin-R1 / internlm3-8b-instruct: 0.348; GLM-Z1-9B-0414 / internlm3-8b-instruct: 0.200,yes; yes; yes,,A
mbpp_humaneval,3,Fin-R1 | Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,Fin-R1 | Llama-3.1-Nemotron-Nano-8B-v1 | internlm3-8b-instruct,unknown | Llama-3.1 | InternLM3-8B,DeepSeek-R1 (uncertain) | NVIDIA Nemotron alignment (uncertain) | none,1137,0.858399,0.702726,0.155673,0.135444,0.176803,Fin-R1 / Llama-3.1-Nemotron-Nano-8B-v1: 0.415; Fin-R1 / internlm3-8b-instruct: 0.348; Llama-3.1-Nemotron-Nano-8B-v1 / internlm3-8b-instruct: 0.233,yes; yes; yes,,A
